Iteration	Posterior	Likelihood	Prior	alpha_morpho	clock_morpho	completeness	diversification	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	F[15]	F[16]	F[17]	F[18]	F[19]	F[20]	F[21]	F[22]	F[23]	F[24]	F[25]	F[26]	num_samp_anc	origin_time	psi	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	t[15]	t[16]	t[17]	t[18]	t[19]	t[20]	t[21]	t[22]	t[23]	t[24]	t[25]	t[26]	turnover
200	-706.2354	-564.9188	-141.3166	49678.72	0.1074916	0.161275	0.1239588	1.197963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.81236	0.2303514	0.994303	0.998538	1.00145	1.00571	1.321922	8.33022	6.7	6.3	6.48231	4.19487	4.43404	1.69311	7.2	5.92869	6.67824	5.32182	3.29737	2.78271	1.63527	3.51806	6.18451	6.54072	7.16998	3.18268	2.76876	2.91249	2.87948	2.85497	2.80076	3.15477	4.87267	0.9062283
210	-704.0777	-559.0196	-145.0581	72763.98	0.08756486	0.106102	0.092198	1.295219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.81654	0.1537371	0.995292	0.998792	1.0012	1.00472	1.387417	8.33022	6.7	6.3	6.48231	4.19487	4.74519	1.69311	7.2	5.92869	6.67824	5.32182	3.29737	1.96689	1.63527	3.51806	6.18451	6.54072	7.16998	3.18268	2.76876	2.91249	2.92244	2.85497	2.80076	2.86312	4.87267	0.933547
220	-709.7727	-561.8815	-147.8912	92480.05	0.07522583	0.1002034	0.06730939	1.278916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.882092	0.142423	0.995823	0.998929	1.00106	1.00418	1.346225	8.33022	6.82117	6.3	6.48231	4.19487	4.74519	1.69311	7.2	5.74718	6.67824	5.32182	3.29737	2.35457	1.63527	3.51806	6.18451	6.54072	7.10893	3.18268	2.76876	2.91249	3.2516	3.07389	2.80076	3.0598	4.87267	0.9500014
230	-707.8394	-568.0421	-139.7973	809904.4	0.1007689	0.2848717	0.01734458	0.9751196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.91231	0.3884394	0.998588	0.999639	1.00036	1.00141	0.9924641	8.33022	6.82117	6.3	6.48231	4.19487	4.74519	1.74394	7.2	5.74718	6.67824	5.32182	3.29737	2.35457	1.63527	3.51806	6.18451	6.54072	7.10893	3.18268	2.76876	2.91249	3.2516	3.07389	2.64639	2.31954	3.21059	0.9825237
240	-707.503	-569.8112	-137.6918	916038.2	0.1171775	0.2589812	-0.01163837	1.004824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.88814	0.3511795	0.998672	0.99966	1.00034	1.00133	0.993186	8.33022	6.82117	6.3	6.48231	3.92636	4.74519	1.74394	7.2	5.30422	6.67824	5.32182	3.29737	1.35675	1.63527	3.3273	6.18451	6.54072	7.10893	3.18268	2.74499	2.91249	3.2516	3.07389	2.64639	2.31954	3.21059	1.011718
250	-705.7107	-567.8619	-137.8488	739320.1	0.09609731	0.1501375	0.04455093	1.480938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.99848	0.261624	0.998522	0.999622	1.00038	1.00148	1.525489	8.33022	6.82117	6.3	6.48231	3.87621	4.74519	1.74394	7.2	5.30422	6.60144	5.32182	3.29737	1.96246	1.63527	3.3273	6.16449	6.54072	7.10893	3.18268	2.57965	3.24465	3.2516	3.07389	3.04304	2.31954	4.26757	0.9707956
260	-717.4038	-576.2676	-141.1362	645012.9	0.1010941	0.2378092	0.05193392	0.8182828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.724955	0.2553103	0.998418	0.999595	1.0004	1.00158	0.8702167	8.33022	6.82117	6.70045	6.48231	3.87621	4.74519	1.31735	7.2	5.30422	6.60144	6.23825	3.29737	1.96246	1.63527	3.46693	5.9203	6.54072	7.10893	3.18268	2.57965	3.24465	3.2516	3.07389	3.04304	2.75738	4.26757	0.9403207
270	-721.7174	-578.2622	-143.4552	209359.7	0.08768062	0.1605757	0.1140932	1.051823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6834	0.2012059	0.997223	0.999289	1.00071	1.00278	1.165916	8.33022	6.82117	6.70045	6.48231	3.87621	4.74519	1.41733	7.2	5.30422	6.43408	6.23825	3.29737	2.29445	1.30514	3.46693	5.9203	6.54072	7.10893	2.97126	2.57965	3.24465	3.2516	3.07389	3.04304	2.75738	3.35714	0.9021429
280	-717.0387	-577.3169	-139.7218	292639.9	0.09853206	0.229701	0.1246415	1.226563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.37216	0.3657575	0.997651	0.999399	1.0006	1.00235	1.351204	8.33022	6.82117	6.70045	6.48231	3.24618	4.74519	1.41733	7.2	5.30422	6.43408	6.00993	3.3529	2.29445	1.58441	3.24532	5.9203	6.54072	7.10893	3.32495	2.57965	3.24465	3.30012	3.32053	2.9231	2.96524	4.34534	0.9077552
290	-726.6472	-585.4161	-141.2311	579418.3	0.0923684	0.1719264	-0.03344873	1.449503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.5162	0.3009488	0.998331	0.999573	1.00043	1.00167	1.416054	8.33022	6.82117	6.70045	6.48231	3.24618	4.74519	1.41733	7.2	5.30422	6.43408	6.00993	3.3529	2.03119	1.58441	3.24532	5.9203	6.54072	7.10893	3.32495	2.57965	3.24465	3.30012	3.32053	2.9231	2.96524	4.34534	1.023621
